table_id,Facility,Unit_or_Service,Intervention_Name,Metric_Name,Metric_Definition,Submetric,Baseline_Value,Baseline_Period,Post_Value,Post_Period,Delta_Value,Delta_Percent,Target_Goal,Status_Flag,Sample_Size_Baseline,Sample_Size_Post,Cost_Savings_Estimate,Staff_Hours_Saved,Patient_Safety_Impact,Satisfaction_Score_Impact,Notes,Last_Updated
ED_Throughput,Community Campus,Radiology,Workflow redesign,Cycle Time,Total cycle time per patient visit in minutes,,Cycle Time -Radiology,2024-07 to 2024-12,3.521476403,2025-01 to 2025-06,-2.2,-38.44,5.25,Green,485,421,5519.56,297,Low,9,Monitored for trend post intervention.,8/19/2025
Clinic_CycleTime,Main Hospital,Ambulatory,Cycle time optimization,Wait Time,Average wait time before service,Wait Time-Ambulatory,5.91,2024-07 to 2024-12,5.954713156,2025-01 to 2025-06,0.64,12.14,4.48,Yellow,182,716,27296.42,262,Low,9,Monitored for trend post intervention.,8/19/2025
OR_Turnover,Community Campus,Radiology,Workflow redesign,Cycle Time,Total cycle time per patient visit in minutes,Cycle Time-Radiology,4.29,2024-07 to 2024-12,0,2025-01 to 2025-06,-4.29,-100,3.77,Green,622,661,33291.24,198,Moderate,1,Reviewed after intervention period,8/19/2025
Inpatient_LOS,Main Hospital,Radiology,Lean turnover project,Cost per Encounter,Average cost per encounter in USD,Cost per Encounter-Radiology,2.72,2024-07 to 2024-12,0,2025-01 to 2025-06,-2.72,-100,2.5,Green,961,227,1522.74,236,Low,7,Monitored for trend post intervention.,8/19/2025
ED_Throughput,Main Hospital,ICU,Cycle time optimization,Wait Time,Average wait time before service,Wait Time-ICU,5.55,2024-07 to 2024-12,10.1202529,2025-01 to 2025-06,4.57,82.35,4.59,Red,473,404,15663.8,28,Low,1,Monitored for trend post intervention.,8/19/2025
Inpatient_LOS,Main Hospital,Ambulatory,Lean turnover project,Readmission,Percentage of patients readmitted within 30 days,Readmission-Ambulatory,11.08,2024-07 to 2024-12,8.587131578,2025-01 to 2025-06,-2.49,-22.5,9.55,Green,953,946,24039.55,43,High,10,Monitored for trend post intervention.,8/19/2025
OR_Turnover,Community Campus,Med-Surg,Workflow redesign,Wait Time,Average wait time before service,Wait Time-Med-Surg,3.85,2024-07 to 2024-12,0,2025-01 to 2025-06,-3.85,-100,3.52,Green,701,789,33453.95,477,High,3,Monitored for trend post intervention.,8/19/2025
Inpatient_LOS,Main Hospital,Ambulatory,Cycle time optimization,Readmission,Percentage of patients readmitted within 30 days,Readmission-Ambulatory,4.26,2024-07 to 2024-12,1.101090125,2025-01 to 2025-06,-3.16,-74.15,4.04,Green,285,174,2377.21,332,Low,7,Monitored for trend post intervention.,8/19/2025
OR_Turnover,Main Hospital,Med-Surg,Lean turnover project,Readmission,Percentage of patients readmitted within 30 days,Readmission-Med-Surg,17.59,2024-07 to 2024-12,12.75969793,2025-01 to 2025-06,-4.83,-27.46,15.94,Green,759,858,45291.16,419,Moderate,10,Monitored for trend post intervention.,8/19/2025
OR_Turnover,Community Campus,Ambulatory,Lean turnover project,Cycle Time,Total cycle time per patient visit in minutes,Cycle Time-Ambulatory,18.4,2024-07 to 2024-12,20.74640708,2025-01 to 2025-06,2.35,12.75,15.44,Red,485,430,46773.51,39,Moderate,6,Monitored for trend post intervention.,8/19/2025
