table_id,Incident_ID,Date_Reported,Reported_By,Department,Regulatory_Domain,Incident_Type,Severity_Level+H1:R5,Description,Root_Cause,Immediate_Action_Taken,Corrective_Action_Required,Responsible_Owner,Due_Date,Resolution_Status,Resolution_Date,Audit_Reference,External_Reporting_Required,External_Report_Date,Financial_Impact,Patient_Impact,Patient_Notification_Status,Recurring_Incident_Flag,Review_Committee_Notes,Follow_Up_Audit_Scheduled,Last_Updated
Incidents_2025_H1,RCIT-2025-0001,5/31/2025,Admin Staff,Finance,OSHA,EMTALA violation,Critical,Incident related to Joint Commission in Med-Surg,Training gap,Policy updated,Immediate mitigation,Risk Manager,6/18/2025,Closed,7/14/2025,POL-604,Yes,,6187.64,No,Completed,No,Reviewed in committee meeting.,12/15/2025,2025-08-18T21:30:25.422403
Incidents_2025_H1,RCIT-2025-0002,3/4/2025,Admin Staff,Administration,HIPAA,Privacy issue,Moderate,Incident related to Joint Commission in Finance,Training gap,Policy updated,Policy updated,Compliance Officer,5/4/2025,In-Progress,,POL-180,No,,29614.84,Yes,Pending,Yes,Reviewed in committee meeting.,10/31/2025,2025-08-18T21:30:25.422441
Incidents_2025_H1,RCIT-2025-0003,4/1/2025,Compliance Officer,Finance,Joint Commission,Safety lapse,Moderate,Incident related to HIPAA in ED,Training gap,Staff retraining,Staff retraining,Compliance Officer,6/2/2025,Open,,POL-323,No,6/7/2025,44314.62,Yes,Not Needed,No,Reviewed in committee meeting.,11/29/2025,2025-08-18T21:30:25.422474
Incidents_2025_H1,RCIT-2025-0004,2/8/2025,Doctor,Radiology,OSHA,EMTALA violation,Moderate,Incident related to OSHA in Finance,Staff non-adherence,Immediate mitigation,Policy updated,Dept Head,2/26/2025,Closed,3/16/2025,POL-875,Yes,,0,Yes,Pending,No,,8/25/2025,2025-08-18T21:30:25.422613
Incidents_2025_H1,RCIT-2025-0005,1/9/2025,Admin Staff,Administration,HIPAA,Billing error,Critical,Incident related to Title VI in Radiology,Training gap,Immediate mitigation,Immediate mitigation,Legal Counsel,3/23/2025,Closed,4/11/2025,POL-643,Yes,,0,Yes,Pending,No,,9/19/2025,2025-08-18T21:30:25.422644
Incidents_2025_H1,RCIT-2025-0006,1/22/2025,Nurse,Administration,CMS,EMTALA violation,Moderate,Incident related to Joint Commission in Administration,Staff non-adherence,Immediate mitigation,Staff retraining,Legal Counsel,2/26/2025,Escalated,3/16/2025,POL-294,Yes,,0,Yes,Completed,No,Reviewed in committee meeting.,8/25/2025,2025-08-18T21:30:25.422669
Incidents_2025_H1,RCIT-2025-0007,2/5/2025,Compliance Officer,ED,HIPAA,Safety lapse,High,Incident related to Joint Commission in Med-Surg,Documentation error,Staff retraining,Technical fix,Risk Manager,3/13/2025,Open,,POL-559,No,,76146.26,No,Pending,Yes,,9/9/2025,2025-08-18T21:30:25.422699
Incidents_2025_H1,RCIT-2025-0008,1/27/2025,Compliance Officer,Med-Surg,HIPAA,Billing error,Low,Incident related to OSHA in Administration,System failure,Policy updated,Staff retraining,Compliance Officer,2/17/2025,Closed,2/19/2025,POL-569,Yes,2/22/2025,0,No,Completed,Yes,,8/16/2025,2025-08-18T21:30:25.422753
Incidents_2025_H1,RCIT-2025-0009,4/25/2025,Doctor,Med-Surg,Joint Commission,Billing error,Moderate,Incident related to EMTALA in Med-Surg,Training gap,Policy updated,Staff retraining,Legal Counsel,5/28/2025,Escalated,6/11/2025,POL-714,No,,85034.7,No,Not Needed,Yes,,11/24/2025,2025-08-18T21:30:25.422782
Incidents_2025_H1,RCIT-2025-0010,4/16/2025,Compliance Officer,ICU,Joint Commission,EMTALA violation,High,Incident related to HIPAA in Radiology,Staff non-adherence,Technical fix,Technical fix,Risk Manager,7/1/2025,Closed,7/1/2025,POL-794,Yes,,0,No,Completed,No,,12/28/2025,2025-08-18T21:30:25.422806
